ticker,signal,score,signal_date,entry_date,entry_price,exit_date,exit_price,result,pl_pct,sl_price,tp_price
QXO,BUY,0.6705,2020-01-02,2020-01-03,22.0359,2020-01-06,23.0236,trailing_stop,4.48,20.7138,0.0
SMCI,HOLD,0.6221,2020-01-13,2020-01-14,2.95,2020-01-14,2.7741,sl_hit,-5.96,2.7741,0.0
TSLA,BUY,0.6513,2020-01-03,2020-01-06,29.3647,2020-01-15,34.6693,trailing_stop,18.06,27.6028,0.0
CRL,BUY,0.6523,2020-01-10,2020-01-13,159.0,2020-01-15,159.0,trailing_stop,0.0,154.5671,0.0
SNX,HOLD,0.602,2020-01-10,2020-01-13,68.5637,2020-01-21,68.5637,trailing_stop,0.0,65.6212,0.0
MGM,BUY,0.6541,2020-01-17,2020-01-21,33.5681,2020-01-21,32.6685,sl_hit,-2.68,32.6685,0.0
BMY,BUY,0.6605,2020-01-14,2020-01-15,52.7957,2020-01-24,51.2951,sl_hit,-2.84,51.2951,0.0
AMD,BUY,0.6873,2020-01-02,2020-01-03,48.03,2020-01-27,50.1695,trailing_stop,4.45,45.1482,0.0
CG,BUY,0.6771,2020-01-02,2020-01-03,26.1902,2020-01-27,27.1977,trailing_stop,3.85,25.0374,0.0
AAPL,BUY,0.6763,2020-01-09,2020-01-10,74.8713,2020-01-27,74.8713,trailing_stop,0.0,72.3757,0.0
LLY,BUY,0.6718,2020-01-13,2020-01-14,129.0902,2020-01-27,129.0902,trailing_stop,0.0,126.0399,0.0
TSLA,BUY,0.7741,2020-01-16,2020-01-17,33.8407,2020-01-27,37.4747,trailing_stop,10.74,31.8102,0.0
A,BUY,0.7006,2020-01-17,2020-01-21,86.0889,2020-01-27,82.9637,sl_hit,-3.63,83.7196,0.0
INTC,BUY,0.6787,2020-01-23,2020-01-24,58.7209,2020-01-27,58.7209,trailing_stop,0.0,56.8924,0.0
TSLA,HOLD,0.5931,2020-01-30,2020-01-31,42.6667,2020-02-04,61.3694,trailing_stop,43.83,40.1067,0.0
PCG,HOLD,0.6038,2020-02-03,2020-02-04,17.2006,2020-02-04,16.1685,sl_hit,-6.0,16.1685,0.0
SMCI,BUY,0.6779,2020-01-15,2020-01-16,2.85,2020-02-06,2.85,trailing_stop,0.0,2.679,0.0
VRT,BUY,0.6618,2020-01-24,2020-01-27,11.7727,2020-02-06,12.9347,trailing_stop,9.87,11.233,0.0
ALB,HOLD,0.6157,2020-02-04,2020-02-05,82.2667,2020-02-07,77.3307,sl_hit,-6.0,77.3307,0.0
MSFT,BUY,0.6541,2020-01-30,2020-01-31,163.1378,2020-02-11,175.4191,trailing_stop,7.53,157.9032,0.0
XYZ,HOLD,0.5981,2020-02-03,2020-02-04,79.9,2020-02-21,83.49,pre_earnings,4.49,75.106,0.0
MSFT,BUY,0.688,2020-02-12,2020-02-13,173.4352,2020-02-21,173.4352,trailing_stop,0.0,164.7632,0.0
MNST,BUY,0.6611,2020-01-17,2020-01-21,33.645,2020-02-24,34.095,pre_earnings,1.34,32.7757,0.0
AGNC,BUY,0.6517,2020-01-29,2020-01-30,8.6338,2020-02-24,8.8759,trailing_stop,2.8,8.4688,0.0
DECK,BUY,0.7021,2020-02-03,2020-02-04,31.465,2020-02-24,32.1718,trailing_stop,2.25,29.584,0.0
AON,BUY,0.6765,2020-02-03,2020-02-04,217.124,2020-02-24,217.7002,trailing_stop,0.27,210.3727,0.0
HLI,BUY,0.6817,2020-02-04,2020-02-05,50.0735,2020-02-24,50.0735,trailing_stop,0.0,47.7037,0.0
TSLA,BUY,0.746,2020-02-06,2020-02-07,48.7033,2020-02-24,56.4294,trailing_stop,15.86,45.7811,0.0
GEN,BUY,0.6807,2020-02-07,2020-02-10,17.4481,2020-02-24,17.54,trailing_stop,0.53,16.4012,0.0
BRO,BUY,0.762,2020-02-03,2020-02-04,44.0204,2020-02-25,44.4983,trailing_stop,1.09,42.5688,0.0
AJG,BUY,0.6945,2020-02-03,2020-02-04,97.7062,2020-02-25,97.7062,trailing_stop,0.0,94.6788,0.0
XEL,BUY,0.6555,2020-02-06,2020-02-07,57.7755,2020-02-25,57.8907,trailing_stop,0.2,56.3834,0.0
PNW,BUY,0.669,2020-02-21,2020-02-24,79.5536,2020-02-25,77.5537,sl_hit,-2.51,77.5537,0.0
NEM,BUY,0.6692,2020-02-24,2020-02-25,41.5339,2020-02-25,41.5339,trailing_stop,0.0,39.6532,0.0
DUK,BUY,0.6592,2020-02-24,2020-02-25,80.836,2020-02-25,78.6939,sl_hit,-2.65,78.6939,0.0
SITE,STRONG_BUY,0.8105,2020-02-21,2020-02-24,108.78,2020-02-26,102.2532,sl_hit,-6.0,102.2532,0.0
TXRH,BUY,0.7814,2020-02-24,2020-02-25,62.9237,2020-02-26,60.0896,sl_hit,-4.5,60.0896,0.0
