ticker,signal,signal_date,entry_date,entry_price,exit_date,exit_price,result,pl_pct,sl_price,tp_price
VRT,BUY,2019-12-10,2019-12-11,10.7775,2019-12-12,11.1967,trailing_stop,3.89,10.6361,0.0
GEN,BUY,2019-12-10,2019-12-11,13.2912,2019-12-26,12.8782,sl_hit,-3.11,12.8782,0.0
TSLA,BUY,2019-12-26,2019-12-27,29.0,2019-12-30,27.3502,sl_hit,-5.69,27.3502,0.0
SW,BUY,2019-12-16,2019-12-17,29.8373,2020-01-07,29.9021,trailing_stop,0.22,29.2994,0.0
WCC,BUY,2019-12-30,2019-12-31,58.0002,2020-01-13,55.1211,sl_hit,-4.96,55.1211,0.0
THC,BUY,2019-12-09,2019-12-10,36.67,2020-01-21,36.14,timeout_30d,-1.45,34.6286,0.0
LVS,BUY,2019-12-13,2019-12-16,64.166,2020-01-22,64.9311,trailing_stop,1.19,61.7348,0.0
STT,BUY,2019-12-12,2019-12-13,65.7366,2020-01-23,66.361,trailing_stop,0.95,63.2152,0.0
SCCO,BUY,2019-12-13,2019-12-16,31.189,2020-01-23,29.9313,sl_hit,-4.03,29.9313,0.0
SNX,BUY,2020-01-13,2020-01-14,70.0582,2020-01-24,66.9163,sl_hit,-4.48,66.9163,0.0
SPXC,BUY,2019-12-10,2019-12-11,50.73,2020-01-27,48.7971,sl_hit,-3.81,48.7971,0.0
SWKS,BUY,2019-12-12,2019-12-13,96.6382,2020-01-27,102.964,trailing_stop,6.55,91.906,0.0
WAL,BUY,2019-12-13,2019-12-16,49.951,2020-01-27,49.7747,timeout_30d,-0.35,48.3206,0.0
V,BUY,2020-01-21,2020-01-22,198.4865,2020-01-27,191.3031,sl_hit,-3.62,193.3036,0.0
VRT,BUY,2019-12-13,2019-12-16,10.9467,2020-01-31,12.3561,trailing_stop,12.87,10.6432,0.0
TSLA,BUY,2020-01-07,2020-01-08,31.58,2020-02-04,61.1483,trailing_stop,93.63,29.608,0.0
SMCI,BUY,2020-01-22,2020-01-23,2.911,2020-02-07,2.6819,sl_hit,-7.87,2.6819,0.0
SO,BUY,2020-01-27,2020-01-28,55.3255,2020-02-10,54.1323,sl_hit,-2.16,54.1323,0.0
TSLA,STRONG_BUY,2020-02-07,2020-02-10,53.3333,2020-02-13,49.0667,sl_hit,-8.0,49.0667,0.0
WTRG,BUY,2020-01-24,2020-01-27,43.5167,2020-02-21,44.7637,pre_earnings,2.87,42.3804,0.0
XYZ,BUY,2020-02-04,2020-02-05,81.98,2020-02-21,83.49,pre_earnings,1.84,76.8054,0.0
TEAM,BUY,2020-01-28,2020-01-29,149.16,2020-02-24,138.52,sl_hit,-7.13,139.331,0.0
XPO,BUY,2020-01-23,2020-01-24,32.2682,2020-02-25,30.3077,sl_hit,-6.08,30.3077,0.0
GEN,BUY,2020-01-23,2020-01-24,14.3276,2020-02-25,17.3522,trailing_stop,21.11,13.6927,0.0
TXRH,BUY,2020-01-28,2020-01-29,57.4196,2020-02-25,61.8461,trailing_stop,7.71,55.0125,0.0
WMS,BUY,2020-02-10,2020-02-11,44.8594,2020-02-25,45.782,trailing_stop,2.06,42.3842,0.0
SITE,BUY,2020-02-21,2020-02-24,108.78,2020-02-26,101.2697,sl_hit,-6.9,101.2697,0.0
WEC,BUY,2020-01-27,2020-01-28,80.5608,2020-02-27,78.7755,sl_hit,-2.22,78.7755,0.0
XEL,BUY,2020-01-31,2020-02-03,57.9085,2020-02-27,56.4547,sl_hit,-2.51,56.4547,0.0
Z,STRONG_BUY,2020-02-21,2020-02-24,61.09,2020-02-27,55.0,sl_hit,-9.97,56.2028,0.0
SCI,BUY,2020-02-25,2020-02-26,46.771,2020-02-27,44.9967,sl_hit,-3.79,44.9967,0.0
SUI,BUY,2020-02-25,2020-02-26,140.945,2020-02-27,136.2217,sl_hit,-3.35,136.3567,0.0
SBAC,BUY,2020-02-25,2020-02-26,270.9767,2020-02-27,255.0482,sl_hit,-5.88,255.0482,0.0
TMUS,BUY,2020-02-13,2020-02-14,92.0312,2020-02-28,86.4085,sl_hit,-6.11,87.3732,0.0
ZM,BUY,2020-02-24,2020-02-25,108.52,2020-02-28,105.0,pre_earnings,-3.24,99.8384,0.0
SBAC,BUY,2020-03-04,2020-03-05,275.5901,2020-03-09,250.94,sl_hit,-8.94,254.4685,0.0
ZM,BUY,2020-03-04,2020-03-05,110.25,2020-03-09,101.43,sl_hit,-8.0,101.43,0.0
TT,BUY,2020-03-04,2020-03-05,105.2,2020-03-09,97.5104,sl_hit,-7.31,97.5104,0.0
WEC,BUY,2020-03-05,2020-03-06,83.5689,2020-03-12,75.2013,sl_hit,-10.01,78.9142,0.0
ZM,BUY,2020-03-20,2020-03-23,141.997,2020-04-02,125.3,sl_hit,-11.76,130.6372,0.0
ZM,BUY,2020-04-20,2020-04-21,151.42,2020-04-21,139.3064,sl_hit,-8.0,139.3064,0.0
ZM,BUY,2020-04-23,2020-04-24,177.15,2020-04-24,162.978,sl_hit,-8.0,162.978,0.0
ZM,BUY,2020-04-27,2020-04-28,165.0,2020-04-29,147.98,sl_hit,-10.32,151.8,0.0
GEN,BUY,2020-04-27,2020-04-28,18.8653,2020-05-11,18.927,pre_earnings,0.33,17.3561,0.0
W,BUY,2020-05-05,2020-05-06,166.2,2020-05-18,152.904,sl_hit,-8.0,152.904,0.0
TTWO,BUY,2020-05-20,2020-05-21,142.14,2020-05-26,133.5457,sl_hit,-6.05,133.5457,0.0
TEAM,BUY,2020-05-07,2020-05-08,179.92,2020-05-27,165.5264,sl_hit,-8.0,165.5264,0.0
TYL,BUY,2020-06-02,2020-06-03,381.62,2020-06-05,356.35,sl_hit,-6.62,356.35,0.0
TECH,BUY,2020-05-06,2020-05-07,64.4795,2020-06-11,59.3211,sl_hit,-8.0,59.3211,0.0
SWKS,BUY,2020-06-05,2020-06-08,119.5931,2020-06-11,111.064,sl_hit,-7.13,111.064,0.0
SFM,BUY,2020-05-07,2020-05-08,24.06,2020-06-18,22.2329,sl_hit,-7.59,22.2329,0.0
TW,BUY,2020-05-29,2020-06-01,64.2448,2020-06-24,59.1052,sl_hit,-8.0,59.1052,0.0
SMCI,BUY,2020-06-15,2020-06-16,3.153,2020-06-26,2.9019,sl_hit,-7.97,2.9019,0.0
TSLA,BUY,2020-06-11,2020-06-12,65.3333,2020-07-13,110.5178,trailing_stop,69.16,60.1067,0.0
SPOT,BUY,2020-05-20,2020-05-21,188.81,2020-07-15,258.8622,trailing_stop,37.1,173.7052,0.0
TER,BUY,2020-06-19,2020-06-22,81.077,2020-07-16,84.166,pre_earnings,3.81,74.5909,0.0
TSLA,STRONG_BUY,2020-07-14,2020-07-15,102.8667,2020-07-17,100.056,pre_earnings,-2.73,94.6373,0.0
WST,BUY,2020-04-24,2020-04-27,193.0471,2020-07-20,248.2231,pre_earnings,28.58,177.6033,0.0
TSCO,BUY,2020-05-29,2020-06-01,22.3688,2020-07-20,26.5182,pre_earnings,18.55,20.9646,0.0
RVTY,BUY,2020-07-21,2020-07-22,110.0764,2020-07-23,110.6294,pre_earnings,0.5,105.1752,0.0
TSLA,BUY,2020-07-22,2020-07-23,111.93,2020-07-23,102.9756,sl_hit,-8.0,102.9756,0.0
WING,BUY,2020-06-24,2020-06-25,120.2369,2020-07-24,124.2136,pre_earnings,3.31,110.6179,0.0
SAIA,BUY,2020-07-17,2020-07-20,129.58,2020-07-24,126.34,pre_earnings,-2.5,120.69,0.0
SPOT,BUY,2020-07-20,2020-07-21,288.41,2020-07-24,268.74,pre_earnings,-6.82,265.3372,0.0
TWLO,BUY,2020-05-07,2020-05-08,167.01,2020-07-30,267.45,pre_earnings,60.14,153.6492,0.0
XYZ,BUY,2020-06-26,2020-06-29,105.15,2020-07-31,129.85,pre_earnings,23.49,96.738,0.0
ZS,BUY,2020-05-29,2020-06-01,96.8,2020-08-11,118.7045,trailing_stop,22.63,89.056,0.0
ZM,BUY,2020-06-02,2020-06-03,211.7,2020-08-11,240.5255,trailing_stop,13.62,194.764,0.0
ORLY,BUY,2020-07-30,2020-07-31,31.954,2020-08-11,30.4053,sl_hit,-4.85,30.4053,0.0
RVTY,BUY,2020-07-29,2020-07-30,117.3542,2020-08-27,111.0749,sl_hit,-5.35,111.0749,0.0
TSLA,STRONG_BUY,2020-08-27,2020-08-28,153.008,2020-09-02,140.7674,sl_hit,-8.0,140.7674,0.0
W,STRONG_BUY,2020-08-11,2020-08-12,309.87,2020-09-03,285.0804,sl_hit,-8.0,285.0804,0.0
ZM,STRONG_BUY,2020-09-02,2020-09-03,399.55,2020-09-03,367.586,sl_hit,-8.0,367.586,0.0
TMO,BUY,2020-07-22,2020-07-23,412.2821,2020-09-04,404.2364,timeout_30d,-1.95,391.1805,0.0
TSCO,BUY,2020-07-23,2020-07-24,26.2744,2020-09-04,26.1084,timeout_30d,-0.63,24.7902,0.0
WING,BUY,2020-07-29,2020-07-30,140.6289,2020-09-04,129.3786,sl_hit,-8.0,129.3786,0.0
WST,BUY,2020-07-23,2020-07-24,256.2659,2020-09-08,259.9774,trailing_stop,1.45,242.1529,0.0
SITE,BUY,2020-07-29,2020-07-30,124.25,2020-09-08,114.31,sl_hit,-8.0,114.31,0.0
WDAY,BUY,2020-09-03,2020-09-04,223.03,2020-09-11,205.1876,sl_hit,-8.0,205.1876,0.0
WMT,BUY,2020-09-03,2020-09-04,44.6895,2020-09-17,41.9021,sl_hit,-6.24,41.9021,0.0
TT,BUY,2020-09-17,2020-09-18,116.7886,2020-09-21,110.9238,sl_hit,-5.02,110.9238,0.0
UEC,BUY,2020-09-18,2020-09-21,1.12,2020-09-21,1.0304,sl_hit,-8.0,1.0304,0.0
RSG,BUY,2020-09-09,2020-09-10,88.3849,2020-09-23,85.6832,sl_hit,-3.06,85.6832,0.0
Z,STRONG_BUY,2020-08-11,2020-08-12,75.36,2020-10-16,98.365,trailing_stop,30.53,69.3312,0.0
TWLO,STRONG_BUY,2020-10-16,2020-10-19,330.0,2020-10-21,298.7,pre_earnings,-9.48,303.6,0.0
SHW,BUY,2020-09-09,2020-09-10,221.782,2020-10-22,215.7642,pre_earnings,-2.71,212.1226,0.0
UPS,BUY,2020-07-31,2020-08-03,115.2694,2020-10-23,138.991,pre_earnings,20.58,108.8235,0.0
TXRH,BUY,2020-10-21,2020-10-22,68.1089,2020-10-23,66.4287,pre_earnings,-2.47,64.0021,0.0
TTC,BUY,2020-09-08,2020-09-09,74.5166,2020-10-26,76.7939,trailing_stop,3.06,71.4336,0.0
STE,BUY,2020-09-17,2020-09-18,164.1992,2020-10-28,170.5885,pre_earnings,3.89,156.7445,0.0
TOL,BUY,2020-09-22,2020-09-23,45.082,2020-10-28,40.9388,sl_hit,-9.19,41.4993,0.0
TYL,BUY,2020-10-23,2020-10-26,403.35,2020-10-28,384.7029,sl_hit,-4.62,384.7029,0.0
VRT,STRONG_BUY,2020-08-11,2020-08-12,15.9523,2020-10-30,17.5645,pre_earnings,10.11,14.7503,0.0
ZM,STRONG_BUY,2020-09-04,2020-09-08,350.7,2020-10-30,478.765,trailing_stop,36.52,322.644,0.0
TTD,BUY,2020-10-01,2020-10-02,53.595,2020-10-30,59.5296,trailing_stop,11.07,49.3074,0.0
BG,BUY,2020-10-28,2020-10-29,50.5224,2020-11-04,47.1358,sl_hit,-6.7,47.1358,0.0
TMO,BUY,2020-10-22,2020-10-23,474.5036,2020-11-09,489.0864,trailing_stop,3.07,453.7661,0.0
RVTY,BUY,2020-11-04,2020-11-05,135.5724,2020-11-09,128.6968,sl_hit,-5.07,128.6968,0.0
TTD,STRONG_BUY,2020-11-09,2020-11-10,76.5,2020-11-10,70.38,sl_hit,-8.0,70.38,0.0
TGT,BUY,2020-09-28,2020-09-29,134.5027,2020-11-13,139.7626,pre_earnings,3.91,129.0784,0.0
RSG,BUY,2020-11-10,2020-11-11,95.5109,2020-11-25,90.5213,sl_hit,-5.22,90.5213,0.0
TT,BUY,2020-11-02,2020-11-03,129.8046,2020-12-08,131.4106,trailing_stop,1.24,122.761,0.0
TTEK,STRONG_BUY,2020-11-13,2020-11-16,22.9624,2020-12-28,22.5687,timeout_30d,-1.71,21.1254,0.0
WSM,STRONG_BUY,2020-11-25,2020-11-27,50.6303,2020-12-29,46.5799,sl_hit,-8.0,46.5799,0.0
SPOT,STRONG_BUY,2020-12-08,2020-12-09,337.28,2021-01-04,310.2976,sl_hit,-8.0,310.2976,0.0
TTWO,BUY,2020-12-30,2020-12-31,207.0,2021-01-14,195.9886,sl_hit,-5.32,195.9886,0.0
SCCO,BUY,2020-10-23,2020-10-26,38.8389,2021-01-19,54.3813,pre_earnings,40.02,36.7531,0.0
TGT,STRONG_BUY,2021-01-14,2021-01-15,170.2988,2021-01-19,163.1966,sl_hit,-4.17,163.1966,0.0
UMBF,BUY,2020-11-03,2020-11-04,57.7154,2021-01-21,66.417,pre_earnings,15.08,53.7066,0.0
TSLA,BUY,2021-01-04,2021-01-05,241.22,2021-01-22,282.2133,pre_earnings,16.99,221.9224,0.0
TER,BUY,2021-01-19,2021-01-20,140.3556,2021-01-22,135.1343,pre_earnings,-3.72,132.3901,0.0
TKR,BUY,2020-11-03,2020-11-04,57.7819,2021-01-25,73.3952,trailing_stop,27.02,54.3795,0.0
SAIA,BUY,2020-11-02,2020-11-03,153.75,2021-01-26,185.6525,trailing_stop,20.75,143.5057,0.0
UBER,STRONG_BUY,2020-11-09,2020-11-10,46.74,2021-01-26,52.081,trailing_stop,11.43,43.0008,0.0
WMS,BUY,2020-12-28,2020-12-29,80.6839,2021-01-26,86.1714,trailing_stop,6.8,75.6939,0.0
TPR,BUY,2020-11-02,2020-11-03,21.0488,2021-01-27,28.0731,trailing_stop,33.37,19.3649,0.0
SMTC,STRONG_BUY,2021-01-21,2021-01-22,81.2,2021-01-27,75.22,sl_hit,-7.36,76.3014,0.0
TECH,BUY,2021-01-22,2021-01-25,87.7556,2021-01-27,82.2467,sl_hit,-6.28,82.6913,0.0
SLAB,BUY,2021-01-25,2021-01-26,143.69,2021-01-27,135.13,sl_hit,-5.96,135.13,0.0
WBD,BUY,2021-01-26,2021-01-27,40.44,2021-01-27,44.4325,trailing_stop,9.87,37.2929,0.0
WSM,STRONG_BUY,2021-01-19,2021-01-20,57.5492,2021-01-28,61.5449,trailing_stop,6.94,53.4175,0.0
SJM,BUY,2021-01-27,2021-01-28,106.3089,2021-01-28,100.3382,sl_hit,-5.62,100.3382,0.0
THC,BUY,2021-01-22,2021-01-25,50.14,2021-01-29,46.1288,sl_hit,-8.0,46.1288,0.0
SFM,BUY,2021-01-27,2021-01-28,24.21,2021-02-01,22.37,sl_hit,-7.6,22.37,0.0
SWKS,BUY,2021-02-01,2021-02-02,165.72,2021-02-04,152.4624,sl_hit,-8.0,152.4624,0.0
TKO,BUY,2021-01-26,2021-01-27,53.2722,2021-02-05,49.0104,sl_hit,-8.0,49.0104,0.0
ZBRA,BUY,2020-11-04,2020-11-05,333.83,2021-02-08,420.31,pre_earnings,25.91,312.3871,0.0
WMS,BUY,2021-02-04,2021-02-05,102.7082,2021-02-09,94.4915,sl_hit,-8.0,94.4915,0.0
RVMD,BUY,2021-02-05,2021-02-08,53.58,2021-02-11,49.2936,sl_hit,-8.0,49.2936,0.0
WING,BUY,2021-01-26,2021-01-27,146.5485,2021-02-12,161.4651,pre_earnings,10.18,137.5695,0.0
TXRH,BUY,2021-02-09,2021-02-10,82.0649,2021-02-16,78.7595,pre_earnings,-4.03,76.3251,0.0
WBD,BUY,2021-01-28,2021-01-29,41.86,2021-02-17,49.36,pre_earnings,17.92,38.5112,0.0
TOL,BUY,2021-01-27,2021-01-28,49.44,2021-02-18,51.0678,pre_earnings,3.29,45.6693,0.0
Z,STRONG_BUY,2021-02-11,2021-02-12,193.0,2021-02-18,177.56,sl_hit,-8.0,177.56,0.0
UEC,STRONG_BUY,2021-02-12,2021-02-16,2.39,2021-02-18,2.1988,sl_hit,-8.0,2.1988,0.0
WDAY,BUY,2021-02-04,2021-02-05,264.19,2021-02-22,269.95,pre_earnings,2.18,245.2229,0.0
WAT,BUY,2021-02-02,2021-02-03,289.66,2021-02-23,274.5343,sl_hit,-5.22,274.5343,0.0
TSCO,BUY,2021-02-18,2021-02-19,31.8695,2021-02-23,29.8833,sl_hit,-6.23,29.8833,0.0
SCCO,STRONG_BUY,2021-02-22,2021-02-23,61.4415,2021-02-26,57.5583,sl_hit,-6.32,57.6968,0.0
TECH,BUY,2021-02-02,2021-02-03,92.68,2021-03-04,85.2656,sl_hit,-8.0,85.2656,0.0
SLAB,BUY,2021-02-23,2021-02-24,159.6,2021-03-04,147.0386,sl_hit,-7.87,147.0386,0.0
ZBRA,STRONG_BUY,2021-02-16,2021-02-17,482.48,2021-03-05,454.5386,sl_hit,-5.79,454.5386,0.0
RYN,BUY,2021-02-04,2021-02-05,24.2601,2021-03-19,23.108,timeout_30d,-4.75,22.9251,0.0
TPR,BUY,2021-02-08,2021-02-09,34.0861,2021-03-23,36.3738,trailing_stop,6.71,31.4413,0.0
WAL,BUY,2021-02-18,2021-02-19,75.6923,2021-03-23,85.7976,trailing_stop,13.35,71.2345,0.0
WBS,BUY,2021-02-26,2021-03-01,48.2469,2021-03-23,48.7258,trailing_stop,0.99,45.0469,0.0
WBD,STRONG_BUY,2021-02-23,2021-02-24,50.8,2021-03-24,70.6525,trailing_stop,39.08,46.736,0.0
SCHW,BUY,2021-03-04,2021-03-05,61.9164,2021-04-12,63.4245,pre_earnings,2.44,57.8885,0.0
UNH,BUY,2021-03-23,2021-03-24,338.6007,2021-04-12,348.0636,pre_earnings,2.79,323.7903,0.0
STLD,BUY,2021-03-05,2021-03-08,42.2581,2021-04-14,47.1776,pre_earnings,11.64,38.8774,0.0
UMBF,BUY,2021-03-04,2021-03-05,83.1339,2021-04-22,83.8321,pre_earnings,0.84,77.3724,0.0
WM,BUY,2021-03-25,2021-03-26,118.2615,2021-04-22,125.1432,pre_earnings,5.82,113.3663,0.0
YUM,BUY,2021-04-12,2021-04-13,106.6158,2021-04-23,107.7601,pre_earnings,1.07,103.1962,0.0
SGI,BUY,2021-02-18,2021-02-19,30.7896,2021-04-26,37.8527,pre_earnings,22.94,28.3264,0.0
BG,STRONG_BUY,2021-02-17,2021-02-18,67.8115,2021-04-29,75.1545,pre_earnings,10.83,63.664,0.0
ZBH,BUY,2021-04-23,2021-04-26,166.3389,2021-04-29,166.7122,pre_earnings,0.22,160.6666,0.0
WAT,BUY,2021-04-12,2021-04-13,307.2,2021-04-30,299.87,pre_earnings,-2.39,293.41,0.0
UGI,BUY,2021-04-14,2021-04-15,34.8601,2021-04-30,35.0929,pre_earnings,0.67,33.5181,0.0
WSM,STRONG_BUY,2021-03-19,2021-03-22,80.0772,2021-05-03,80.057,timeout_30d,-0.03,73.671,0.0
SFM,BUY,2021-03-23,2021-03-24,25.72,2021-05-03,26.53,pre_earnings,3.15,23.9914,0.0
SUI,BUY,2021-05-03,2021-05-04,142.1956,2021-05-05,137.8023,sl_hit,-3.09,137.8023,0.0
STE,BUY,2021-04-22,2021-04-23,204.2462,2021-05-11,197.7389,sl_hit,-3.19,197.7389,0.0
VICI,BUY,2021-04-29,2021-04-30,24.6343,2021-05-11,23.7664,sl_hit,-3.52,23.7664,0.0
TTC,STRONG_BUY,2021-04-22,2021-04-23,107.0474,2021-05-12,102.5798,sl_hit,-4.17,102.5798,0.0
ORLY,BUY,2021-05-03,2021-05-04,36.902,2021-05-25,35.578,sl_hit,-3.59,35.578,0.0
UPS,STRONG_BUY,2021-04-29,2021-04-30,165.1112,2021-06-09,165.4469,trailing_stop,0.2,156.9295,0.0
TIGO,STRONG_BUY,2021-05-11,2021-05-12,39.028,2021-06-10,36.7516,sl_hit,-5.83,37.1701,0.0
WTW,BUY,2021-04-30,2021-05-03,243.5182,2021-06-14,241.181,timeout_30d,-0.96,232.8165,0.0
TXT,BUY,2021-04-30,2021-05-03,64.5142,2021-06-17,65.3898,trailing_stop,1.36,61.6942,0.0
STLD,STRONG_BUY,2021-05-05,2021-05-06,56.238,2021-06-17,54.8919,timeout_30d,-2.39,52.6122,0.0
SLB,BUY,2021-05-12,2021-05-13,28.4234,2021-06-17,29.3522,trailing_stop,3.27,26.2176,0.0
STAG,BUY,2021-06-14,2021-06-15,32.6332,2021-06-17,31.7201,sl_hit,-2.8,31.7201,0.0
SNX,STRONG_BUY,2021-03-23,2021-03-24,103.0925,2021-06-21,112.3839,pre_earnings,9.01,95.7033,0.0
WCC,STRONG_BUY,2021-05-11,2021-05-12,101.9329,2021-06-23,99.3372,timeout_30d,-2.55,94.2736,0.0
RVTY,BUY,2021-06-23,2021-06-24,154.1127,2021-06-24,148.7295,sl_hit,-3.49,148.7295,0.0
VNOM,BUY,2021-04-26,2021-04-27,13.3361,2021-07-08,13.0506,timeout_30d,-2.14,12.2692,0.0
TRGP,STRONG_BUY,2021-06-09,2021-06-10,41.473,2021-07-08,38.409,sl_hit,-7.39,38.6472,0.0
TWLO,BUY,2021-06-28,2021-06-29,394.0,2021-07-15,365.4407,sl_hit,-7.25,365.4407,0.0
TROW,BUY,2021-07-09,2021-07-12,169.6048,2021-07-19,163.7266,sl_hit,-3.47,163.7266,0.0
TRU,BUY,2021-07-20,2021-07-21,112.5613,2021-07-22,111.6919,pre_earnings,-0.77,108.8616,0.0
VRT,BUY,2021-06-10,2021-06-11,25.8978,2021-07-23,27.6203,pre_earnings,6.65,24.8296,0.0
ORLY,BUY,2021-07-08,2021-07-09,38.97,2021-07-23,41.3947,pre_earnings,6.22,37.8262,0.0
UDR,BUY,2021-07-15,2021-07-16,44.3749,2021-07-23,46.0169,pre_earnings,3.7,42.8641,0.0
WST,BUY,2021-06-18,2021-06-21,349.9096,2021-07-26,373.1082,pre_earnings,6.63,337.7572,0.0
WELL,BUY,2021-06-23,2021-06-24,74.4696,2021-07-26,77.9861,pre_earnings,4.72,71.5712,0.0
TEAM,BUY,2021-06-23,2021-06-24,269.64,2021-07-26,267.54,pre_earnings,-0.78,253.512,0.0
WAT,BUY,2021-06-17,2021-06-18,345.04,2021-07-29,391.02,pre_earnings,13.33,334.2057,0.0
TT,BUY,2021-07-23,2021-07-26,189.8593,2021-07-30,192.4204,pre_earnings,1.35,182.866,0.0
ZTS,BUY,2021-06-17,2021-06-18,176.4146,2021-08-02,193.2356,pre_earnings,9.53,170.3443,0.0
SBUX,BUY,2021-07-27,2021-07-28,109.7047,2021-08-03,105.6665,sl_hit,-3.68,105.6665,0.0
UDR,BUY,2021-07-28,2021-07-29,46.3604,2021-08-11,44.882,sl_hit,-3.19,44.882,0.0
TGT,BUY,2021-05-25,2021-05-26,196.2021,2021-08-13,226.8856,pre_earnings,15.64,187.0227,0.0
SCI,BUY,2021-07-29,2021-07-30,57.9726,2021-09-10,57.9447,timeout_30d,-0.05,55.8527,0.0
SUI,BUY,2021-07-26,2021-07-27,161.9444,2021-09-13,171.0551,trailing_stop,5.63,156.8999,0.0
ORLY,BUY,2021-07-28,2021-07-29,39.3333,2021-09-13,39.1587,timeout_30d,-0.44,38.1306,0.0
WST,STRONG_BUY,2021-07-30,2021-08-02,407.5321,2021-09-13,442.1419,trailing_stop,8.49,391.7232,0.0
UEC,BUY,2021-09-13,2021-09-14,3.39,2021-09-14,3.1188,sl_hit,-8.0,3.1188,0.0
TRU,BUY,2021-07-27,2021-07-28,115.7754,2021-09-15,115.2816,timeout_30d,-0.43,111.4546,0.0
WING,BUY,2021-09-10,2021-09-13,176.4005,2021-09-15,168.7676,sl_hit,-4.33,168.7676,0.0
UEC,BUY,2021-09-15,2021-09-16,3.76,2021-09-16,3.4592,sl_hit,-8.0,3.4592,0.0
WAT,BUY,2021-08-03,2021-08-04,394.0,2021-09-17,398.9925,trailing_stop,1.27,377.2986,0.0
TRMB,BUY,2021-08-11,2021-08-12,88.98,2021-09-20,90.24,trailing_stop,1.42,85.4086,0.0
RSG,BUY,2021-09-14,2021-09-15,117.9408,2021-09-20,115.4003,sl_hit,-2.15,115.4003,0.0
RVTY,BUY,2021-07-26,2021-07-27,171.4307,2021-09-27,177.3028,trailing_stop,3.43,164.1844,0.0
TECH,BUY,2021-09-15,2021-09-16,128.9316,2021-09-28,122.3754,sl_hit,-5.09,122.3754,0.0
